timestamp,src_ip,dst_ip,protocol
2025-11-21 13:40:00.079304,206.247.55.40,10.174.0.8,TLS
2025-11-21 13:40:00.095456,10.174.2.158,224.0.0.251,MDNS
2025-11-21 13:40:00.123026,10.174.7.239,224.0.0.251,MDNS
2025-11-21 13:40:00.124588,10.174.0.8,206.247.55.40,TCP
2025-11-21 13:40:00.185484,10.174.2.63,224.0.0.251,MDNS
2025-11-21 13:40:00.278121,206.247.55.40,10.174.0.8,DATA
2025-11-21 13:40:00.278410,10.174.0.8,206.247.55.40,DATA
2025-11-21 13:40:00.303201,206.247.55.40,10.174.0.8,DATA
2025-11-21 13:40:00.334395,10.174.7.31,224.0.0.251,MDNS
2025-11-21 13:40:00.391414,10.174.7.239,224.0.0.251,MDNS
2025-11-21 13:40:00.434686,206.247.55.40,10.174.0.8,TCP
2025-11-21 13:40:00.464919,170.114.52.83,10.174.0.8,TCP
2025-11-21 13:40:00.465039,10.174.0.8,170.114.52.83,TCP
